,time,energy_price,fcas_raise_price,fcas_lower_price
1150,2024-01-01 23:25,54.95019,0,0
1155,2024-01-01 23:30,57.95,0,0
1160,2024-01-01 23:35,58.41663,0,0
1165,2024-01-01 23:40,59.98994,0,0
1170,2024-01-01 23:45,57.54614,0,0
1175,2024-01-01 23:50,57.95,0,0
1180,2024-01-01 23:55,57.95,0,0
1185,2024-01-02 00:00,57.95,0,0
1190,2024-01-02 00:05,49.72226,0,0
1195,2024-01-02 00:10,54.95014,0,0
1200,2024-01-02 00:15,54.95014,0,0
1205,2024-01-02 00:20,54.83027,0,0
1210,2024-01-02 00:25,54.95014,0,0
1215,2024-01-02 00:30,50.94668,0,0
1220,2024-01-02 00:35,57.95,0,0
1225,2024-01-02 00:40,57.95,0,0
1230,2024-01-02 00:45,57.95,0,0
1235,2024-01-02 00:50,57.95,0,0
1240,2024-01-02 00:55,54.95014,0,0
1245,2024-01-02 01:00,54.95014,0,0
1250,2024-01-02 01:05,54.95014,0,0
1255,2024-01-02 01:10,54.95014,0,0
1260,2024-01-02 01:15,54.45014,0,0
1265,2024-01-02 01:20,54.95014,0,0
1270,2024-01-02 01:25,51.54027,0,0
1275,2024-01-02 01:30,51.69144,0,0
1280,2024-01-02 01:35,54.95014,0,0
1285,2024-01-02 01:40,54.95014,0,0
1290,2024-01-02 01:45,54.95014,0,0
1295,2024-01-02 01:50,54.95014,0,0
1300,2024-01-02 01:55,54.94989,0,0
1305,2024-01-02 02:00,53.7173,0,0
1310,2024-01-02 02:05,54.95014,0,0
1315,2024-01-02 02:10,54.95014,0,0
1320,2024-01-02 02:15,54.95014,0,0
1325,2024-01-02 02:20,54.08412,0,0
1330,2024-01-02 02:25,53.9083,0,0
1335,2024-01-02 02:30,53.42462,0,0
1340,2024-01-02 02:35,54.39958,0,0
1345,2024-01-02 02:40,54.09367,0,0
1350,2024-01-02 02:45,53.21757,0,0
1355,2024-01-02 02:50,53.20476,0,0
1360,2024-01-02 02:55,53.56774,0,0
1365,2024-01-02 03:00,53.23507,0,0
1370,2024-01-02 03:05,48.04874,0,0
1375,2024-01-02 03:10,47.75659,0,0
1380,2024-01-02 03:15,53.04868,0,0
1385,2024-01-02 03:20,52.88437,0,0
1390,2024-01-02 03:25,52.40014,0,0
1395,2024-01-02 03:30,52.40014,0,0
1400,2024-01-02 03:35,51.97014,0,0
1405,2024-01-02 03:40,53.57659,0,0
1410,2024-01-02 03:45,53.22316,0,0
1415,2024-01-02 03:50,52.20014,0,0
1420,2024-01-02 03:55,50.63014,0,0
1425,2024-01-02 04:00,52.54014,0,0
1430,2024-01-02 04:05,48.33016,0,0
1435,2024-01-02 04:10,47.99929,0,0
1440,2024-01-02 04:15,47.61114,0,0
1445,2024-01-02 04:20,46.77417,0,0
1450,2024-01-02 04:25,54.95014,0,0
1455,2024-01-02 04:30,54.95014,0,0
1460,2024-01-02 04:35,51.79537,0,0
1465,2024-01-02 04:40,51.77544,0,0
1470,2024-01-02 04:45,54.95014,0,0
1475,2024-01-02 04:50,54.95014,0,0
1480,2024-01-02 04:55,54.95014,0,0
1485,2024-01-02 05:00,51.8378,0,0
1490,2024-01-02 05:05,56.21174,0,0
1495,2024-01-02 05:10,63.02745,0,0
1500,2024-01-02 05:15,58,0,0
1505,2024-01-02 05:20,57.95,0,0
1510,2024-01-02 05:25,58,0,0
1515,2024-01-02 05:30,57.95,0,0
1520,2024-01-02 05:35,55.69832,0,0
1525,2024-01-02 05:40,58,0,0
1530,2024-01-02 05:45,54.95014,0,0
1535,2024-01-02 05:50,58.84876,0,0
1540,2024-01-02 05:55,58,0,0
1545,2024-01-02 06:00,58,0,0
1550,2024-01-02 06:05,62.18845,0,0
1555,2024-01-02 06:10,58.17882,0,0
1560,2024-01-02 06:15,57.97439,0,0
1565,2024-01-02 06:20,63.93893,0,0
1570,2024-01-02 06:25,59.99011,0,0
1575,2024-01-02 06:30,54.26295,0,0
1580,2024-01-02 06:35,39.06005,0,0
1585,2024-01-02 06:40,49.90335,0,0
1590,2024-01-02 06:45,48.64508,0,0
1595,2024-01-02 06:50,47.61114,0,0
1600,2024-01-02 06:55,35.87948,0,0
1605,2024-01-02 07:00,35.87921,0,0
1610,2024-01-02 07:05,35.87975,0,0
1615,2024-01-02 07:10,40.6998,0,0
1620,2024-01-02 07:15,36.06,0,0
1625,2024-01-02 07:20,17.35692,0,0
1630,2024-01-02 07:25,20.1135,0,0
1635,2024-01-02 07:30,17.68987,0,0
1640,2024-01-02 07:35,19.81805,0,0
1645,2024-01-02 07:40,9.4053,0,0
1650,2024-01-02 07:45,28.64959,0,0
1655,2024-01-02 07:50,21.64602,0,0
1660,2024-01-02 07:55,21.90475,0,0
1665,2024-01-02 08:00,33.57923,0,0
1670,2024-01-02 08:05,21.76776,0,0
1675,2024-01-02 08:10,35.45543,0,0
1680,2024-01-02 08:15,33.77857,0,0
1685,2024-01-02 08:20,23.00161,0,0
1690,2024-01-02 08:25,0,0,0
1695,2024-01-02 08:30,10.06488,0,0
1700,2024-01-02 08:35,10.94064,0,0
1705,2024-01-02 08:40,34.22831,0,0
1710,2024-01-02 08:45,34.88798,0,0
1715,2024-01-02 08:50,36.05964,0,0
1720,2024-01-02 08:55,36.06,0,0
1725,2024-01-02 09:00,37.7603,0,0
1730,2024-01-02 09:05,36.06,0,0
1735,2024-01-02 09:10,30.7971,0,0
1740,2024-01-02 09:15,36.06,0,0
1745,2024-01-02 09:20,39.15059,0,0
1750,2024-01-02 09:25,37.44294,0,0
1755,2024-01-02 09:30,42.79036,0,0
1760,2024-01-02 09:35,36.06,0,0
1765,2024-01-02 09:40,44.65946,0,0
1770,2024-01-02 09:45,39.61775,0,0
1775,2024-01-02 09:50,59.99,0,0
1780,2024-01-02 09:55,58,0,0
1785,2024-01-02 10:00,54.95032,0,0
1790,2024-01-02 10:05,59.99,0,0
1795,2024-01-02 10:10,54.95032,0,0
1800,2024-01-02 10:15,54.95022,0,0
1805,2024-01-02 10:20,46.62481,0,0
1810,2024-01-02 10:25,49.08684,0,0
1815,2024-01-02 10:30,41.06093,0,0
1820,2024-01-02 10:35,18.43227,0,0
1825,2024-01-02 10:40,34.51449,0,0
1830,2024-01-02 10:45,30.7184,0,0
1835,2024-01-02 10:50,38.73047,0,0
1840,2024-01-02 10:55,54.95007,0,0
1845,2024-01-02 11:00,59.99,0,0
1850,2024-01-02 11:05,54.95014,0,0
1855,2024-01-02 11:10,56.04186,0,0
1860,2024-01-02 11:15,57.95,0,0
1865,2024-01-02 11:20,36.06,0,0
1870,2024-01-02 11:25,41.57128,0,0
1875,2024-01-02 11:30,18.83426,0,0
1880,2024-01-02 11:35,59.99,0,0
1885,2024-01-02 11:40,51.72207,0,0
1890,2024-01-02 11:45,36.06,0,0
1895,2024-01-02 11:50,58,0,0
1900,2024-01-02 11:55,36.05993,0,0
