,time,energy_price,fcas_raise_price,fcas_lower_price
1910,2024-01-02 12:05,18.39884,0,0
1915,2024-01-02 12:10,18.39884,0,0
1920,2024-01-02 12:15,18.62811,0,0
1925,2024-01-02 12:20,18.62811,0,0
1930,2024-01-02 12:25,18.62811,0,0
1935,2024-01-02 12:30,18.62811,0,0
1940,2024-01-02 12:35,18.62811,0,0
1945,2024-01-02 12:40,18.62811,0,0
1950,2024-01-02 12:45,55.0401,0,0
1955,2024-01-02 12:50,55.0401,0,0
1960,2024-01-02 12:55,55.0401,0,0
1965,2024-01-02 13:00,55.0401,0,0
1970,2024-01-02 13:05,55.0401,0,0
1975,2024-01-02 13:10,55.0401,0,0
1980,2024-01-02 13:15,36.05982,0,0
1985,2024-01-02 13:20,36.05982,0,0
1990,2024-01-02 13:25,36.05982,0,0
1995,2024-01-02 13:30,36.05982,0,0
2000,2024-01-02 13:35,36.05982,0,0
2005,2024-01-02 13:40,36.05982,0,0
2010,2024-01-02 13:45,35.88,0,0
2015,2024-01-02 13:50,35.88,0,0
2020,2024-01-02 13:55,35.88,0,0
2025,2024-01-02 14:00,35.88,0,0
2030,2024-01-02 14:05,35.88,0,0
2035,2024-01-02 14:10,35.88,0,0
2040,2024-01-02 14:15,35.88,0,0
2045,2024-01-02 14:20,35.88,0,0
2050,2024-01-02 14:25,35.88,0,0
2055,2024-01-02 14:30,35.88,0,0
2060,2024-01-02 14:35,35.88,0,0
2065,2024-01-02 14:40,35.88,0,0
2070,2024-01-02 14:45,35.88,0,0
2075,2024-01-02 14:50,35.88,0,0
2080,2024-01-02 14:55,35.88,0,0
2085,2024-01-02 15:00,35.88,0,0
2090,2024-01-02 15:05,35.88,0,0
2095,2024-01-02 15:10,35.88,0,0
2100,2024-01-02 15:15,35.88,0,0
2105,2024-01-02 15:20,35.88,0,0
2110,2024-01-02 15:25,35.88,0,0
2115,2024-01-02 15:30,35.88,0,0
2120,2024-01-02 15:35,35.88,0,0
2125,2024-01-02 15:40,35.88,0,0
2130,2024-01-02 15:45,35.88,0,0
2135,2024-01-02 15:50,35.88,0,0
2140,2024-01-02 15:55,35.88,0,0
2145,2024-01-02 16:00,35.88,0,0
2150,2024-01-02 16:05,35.88,0,0
2155,2024-01-02 16:10,35.88,0,0
2160,2024-01-02 16:15,35.88,0,0
2165,2024-01-02 16:20,35.88,0,0
2170,2024-01-02 16:25,35.88,0,0
2175,2024-01-02 16:30,35.88,0,0
2180,2024-01-02 16:35,35.88,0,0
2185,2024-01-02 16:40,35.88,0,0
2190,2024-01-02 16:45,35.88,0,0
2195,2024-01-02 16:50,35.88,0,0
2200,2024-01-02 16:55,35.88,0,0
2205,2024-01-02 17:00,35.88,0,0
2210,2024-01-02 17:05,35.88,0,0
2215,2024-01-02 17:10,35.88,0,0
2220,2024-01-02 17:15,41.98456,0,0
2225,2024-01-02 17:20,41.98456,0,0
2230,2024-01-02 17:25,41.98456,0,0
2235,2024-01-02 17:30,41.98456,0,0
2240,2024-01-02 17:35,41.98456,0,0
2245,2024-01-02 17:40,41.98456,0,0
2250,2024-01-02 17:45,52.41552,0,0
2255,2024-01-02 17:50,52.41552,0,0
2260,2024-01-02 17:55,52.41552,0,0
2265,2024-01-02 18:00,52.41552,0,0
2270,2024-01-02 18:05,52.41552,0,0
2275,2024-01-02 18:10,52.41552,0,0
2280,2024-01-02 18:15,58.65904,0,0
2285,2024-01-02 18:20,58.65904,0,0
2290,2024-01-02 18:25,58.65904,0,0
2295,2024-01-02 18:30,58.65904,0,0
2300,2024-01-02 18:35,58.65904,0,0
2305,2024-01-02 18:40,58.65904,0,0
2310,2024-01-02 18:45,57.95,0,0
2315,2024-01-02 18:50,57.95,0,0
2320,2024-01-02 18:55,57.95,0,0
2325,2024-01-02 19:00,57.95,0,0
2330,2024-01-02 19:05,57.95,0,0
2335,2024-01-02 19:10,57.95,0,0
2340,2024-01-02 19:15,73.18716,0,0
2345,2024-01-02 19:20,73.18716,0,0
2350,2024-01-02 19:25,73.18716,0,0
2355,2024-01-02 19:30,73.18716,0,0
2360,2024-01-02 19:35,73.18716,0,0
2365,2024-01-02 19:40,73.18716,0,0
2370,2024-01-02 19:45,88.89,0,0
2375,2024-01-02 19:50,88.89,0,0
2380,2024-01-02 19:55,88.89,0,0
2385,2024-01-02 20:00,88.89,0,0
2390,2024-01-02 20:05,88.89,0,0
2395,2024-01-02 20:10,88.89,0,0
2400,2024-01-02 20:15,85.98,0,0
2405,2024-01-02 20:20,85.98,0,0
2410,2024-01-02 20:25,85.98,0,0
2415,2024-01-02 20:30,85.98,0,0
2420,2024-01-02 20:35,85.98,0,0
2425,2024-01-02 20:40,85.98,0,0
2430,2024-01-02 20:45,81.29631,0,0
2435,2024-01-02 20:50,81.29631,0,0
2440,2024-01-02 20:55,81.29631,0,0
2445,2024-01-02 21:00,81.29631,0,0
2450,2024-01-02 21:05,81.29631,0,0
2455,2024-01-02 21:10,81.29631,0,0
2460,2024-01-02 21:15,64.95,0,0
2465,2024-01-02 21:20,64.95,0,0
2470,2024-01-02 21:25,64.95,0,0
2475,2024-01-02 21:30,64.95,0,0
2480,2024-01-02 21:35,64.95,0,0
2485,2024-01-02 21:40,64.95,0,0
2490,2024-01-02 21:45,64.95,0,0
2495,2024-01-02 21:50,64.95,0,0
2500,2024-01-02 21:55,64.95,0,0
2505,2024-01-02 22:00,64.95,0,0
2510,2024-01-02 22:05,64.95,0,0
2515,2024-01-02 22:10,64.95,0,0
2520,2024-01-02 22:15,81.97897,0,0
2525,2024-01-02 22:20,81.97897,0,0
2530,2024-01-02 22:25,81.97897,0,0
2535,2024-01-02 22:30,81.97897,0,0
2540,2024-01-02 22:35,81.97897,0,0
2545,2024-01-02 22:40,81.97897,0,0
